2023-12-12 13:50:30 | FB15k_transe | df_test_g_train len=482711
2023-12-12 13:50:30 | FB15k_transe | df_test_g_train len=482711
2023-12-12 13:50:30 | FB15k_transe | df_train_g_test len=54
2023-12-12 13:50:30 | FB15k_transe | df_train_g_test len=54
2023-12-12 13:50:30 | FB15k_transe | df_train_g_train len=377
2023-12-12 13:50:30 | FB15k_transe | df_train_g_train len=377
2023-12-12 13:50:30 | FB15k_transe | df_train_g_valid len=39
2023-12-12 13:50:30 | FB15k_transe | df_train_g_valid len=39
2023-12-12 13:50:30 | FB15k_transe | df_test_g_valid len=49961
2023-12-12 13:50:30 | FB15k_transe | df_test_g_valid len=49961
2023-12-12 13:50:32 | FB15k_transe | Sampling Time Sec=2.061216
2023-12-12 13:50:32 | FB15k_transe | Sampling Time Sec=2.061216
2023-12-12 15:01:00 | FB15k_transe | df_test_g_train len=482711
2023-12-12 15:01:00 | FB15k_transe | df_test_g_train len=482711
2023-12-12 15:01:00 | FB15k_transe | df_train_g_test len=51
2023-12-12 15:01:00 | FB15k_transe | df_train_g_test len=51
2023-12-12 15:01:00 | FB15k_transe | df_train_g_train len=380
2023-12-12 15:01:00 | FB15k_transe | df_train_g_train len=380
2023-12-12 15:01:00 | FB15k_transe | df_train_g_valid len=39
2023-12-12 15:01:00 | FB15k_transe | df_train_g_valid len=39
2023-12-12 15:01:00 | FB15k_transe | df_test_g_valid len=49961
2023-12-12 15:01:00 | FB15k_transe | df_test_g_valid len=49961
2023-12-12 15:01:01 | FB15k_transe | Sampling Time Sec=1.936446
2023-12-12 15:01:01 | FB15k_transe | Sampling Time Sec=1.936446
